user_id,numAnniElite,numAmici,sCompl,fans,review_count,useful,funny,cool,valore
JaTVvKsBl0bHHJEpESn4pQ,0,0,0,0,2,0,0,0,0.12
Ykj0DVsz0c6rX9ghjd0hDg,0,0,0,0,1,0,0,0,0.06
uUzsFQn_6cXDh6rPNGbIFA,0,0,0,0,1,0,0,0,0.06
kmyEPfKnHQJdTceCdoyMQg,0,0,0,0,7,0,0,0,0.42
W5mJGs-dcDWRGEhAzUYtoA,0,0,0,0,3,0,0,0,0.18
H54pA7YHfjl8IjhHAfdXJA,0,0,0,0,3,0,0,0,0.18
oMy_rEb0UBEmMlu-zcxnoQ,0,11,1,0,8,0,0,0,1.6800000000000002
WRae-wZkpRoxMrgJdqwyxg,0,0,0,0,1,0,0,0,0.06
LdqGHXsNQowMrvgTNburJA,0,0,0,0,1,3,1,0,0.6600000000000001
TsgBsn19Wjwpyo81gF9_8Q,0,0,1,0,4,0,0,0,0.33999999999999997
V--GjQPlTpeWbcB2cS06Gw,0,0,0,0,2,2,0,1,0.55
Mmv5fPxbF8XEMN4EPT_Khg,0,0,0,0,2,0,0,0,0.12
Ob-2oGBQ7rwwYwUvhmnf7g,0,0,0,0,9,0,0,0,0.54
4E8--zUZO1Rr1IBK4_83fg,0,0,1,0,11,4,0,0,1.52
a_gKYQ5YMg39FHNYJLWRHg,0,0,0,0,1,0,0,0,0.06
JJ-aSuM4pCFPdkfoZ34q0Q,0,79,0,0,10,0,0,0,8.5
sz8Heh56kO_6_LBkoIhNfA,0,0,0,0,4,0,0,0,0.24
h5ERTYn2vQ1QbjTZvfWPaA,0,64,0,0,3,0,0,0,6.58
moJE85Sfg7Itd3-iIvduQQ,0,0,0,0,1,0,0,0,0.06
8wxTBgvIkCgEZrNfTc1eWQ,0,0,0,0,4,0,0,1,0.29
tkqAUCre66jVB9BbTsZPDA,0,0,0,0,4,0,0,0,0.24
y3ONpOBwpnXb57QNlWUhWQ,0,0,0,0,1,1,0,0,0.25
eMBV7FugCJq7FIvGhARo2Q,0,0,0,0,1,0,0,0,0.06
mBneaEEH5EMyxaVyqS-72A,0,0,0,0,6,0,0,0,0.36
PASVfluTGQC5vpjdl-jinw,0,0,0,0,1,0,0,0,0.06
bOJZW_hvGkVEIQVwhyqSuw,0,0,0,0,2,0,0,0,0.12
LLb4Y_gVVtE38ymLy9gC7g,0,0,0,0,2,0,0,0,0.12
ddhNJ-nbjwjHoSth6qXJ8g,0,0,0,0,2,0,0,0,0.12
kB2D-z4sHyRsxtim3Qb0mA,0,0,0,0,7,0,0,0,0.42
h5_D5TlEN4bREoy3vR-Vxw,0,0,0,0,1,0,0,0,0.06
rH53dcL7YKjbztjyA45n0A,0,0,0,0,1,1,0,0,0.25
Jbd0A9CTTTzEMvKbZ1BGjw,0,0,0,0,1,0,0,0,0.06
WQxXdek5tWFZSPg_GKn1FQ,0,0,0,0,2,0,0,0,0.12
bsRNTZ1osSKjuGpHBwX2Pw,0,0,0,0,1,0,0,0,0.06
