business_id,valoreOP1,valoreOP2,valoreOP3,user_id,vlutente,valoretext,date,stars,valorelib
RESDUcs7fIiihp38-d6_6g,-0.019789908816236546,-0.020644879545382855,-0.021476633850180393,RFIZhrka0gCpiL62M5E93g,4.5,0.10583999999999993,2015-02-25,0.0,0.10583999999999998
RESDUcs7fIiihp38-d6_6g,-0.01978980855436019,-0.02064478066353126,-0.021476536310879535,KGGA28eimhhOgHmSfyhEgw,2.51,0.3510599999999999,2015-12-29,0.0,0.35106
RESDUcs7fIiihp38-d6_6g,-0.019789727805188395,-0.02064470102580729,-0.021476457754422418,J90_7u_8vPYa03GMohNxAA,0.24,1.4159680000000003,2017-07-02,1.0,0.4159680000000001
RESDUcs7fIiihp38-d6_6g,-0.019751392076129193,-0.0206034315820407,-0.021432334259922303,be_VC6SjhIABLvpGqRlMow,125.25,0.9012625000000001,2012-10-15,0.5,0.4012625000000001
RESDUcs7fIiihp38-d6_6g,-0.0197851583778883,-0.02063939889399591,-0.02147044281442856,gJGXoQ6UzqK-cWVO8MnGHA,43.269999999999996,0.5907703703703704,2016-03-19,0.5,0.09077037037037038
RESDUcs7fIiihp38-d6_6g,-0.01978867256173089,-0.020643660306933986,-0.021475431165723702,ej7th1TBk_WA_y4GU0n_iw,5.01,1.4306199999999998,2015-10-14,1.0,0.43061999999999995
RESDUcs7fIiihp38-d6_6g,-0.01978882893829703,-0.020643814531101645,-0.021475583295939904,pIzyC-oPzQccanodA2ckWQ,4.720000000000001,1.3258874999999999,2015-07-20,1.0,0.3258875
RESDUcs7fIiihp38-d6_6g,-0.019789420087893417,-0.020644397543995385,-0.02147615839308048,i25irB9ppeha7IXK1HcM2g,4.09,0.7369444444444446,2016-01-29,0.5,0.23694444444444443
RESDUcs7fIiihp38-d6_6g,-0.007067013404022271,-0.007197046921841199,-0.007323549425994003,IS9yw8P2uAPBX6FNLLX4KA,5354.69,0.6499350877192982,2014-01-17,0.5,0.14993508771929825
RESDUcs7fIiihp38-d6_6g,-0.01979026601530487,-0.02064523182789091,-0.021476981349635826,3H3yQmyzGuQ0ToooAp1uEA,0.48,-1.1716,2016-04-07,-1.0,-0.17160000000000003
RESDUcs7fIiihp38-d6_6g,-0.019790179285012144,-0.020645146291371708,-0.021476896974473192,eOeYJk4b7R9RjSvb4RZj8A,1.05,-0.5715153846153846,2016-12-30,-0.5,-0.07151538461538463
RESDUcs7fIiihp38-d6_6g,-0.019789547963882548,-0.02064452365987357,-0.02147628279664282,i05OLRVJCeN3ZD1dIM2mrQ,0.88,1.5541999999999998,2017-04-17,1.0,0.5542
RESDUcs7fIiihp38-d6_6g,-0.01977159405039708,-0.02062516675681536,-0.021455561001692214,7pAwEaOzMHRKumRXlryRiw,69.43,1.54035,2014-08-12,1.0,0.54035
RESDUcs7fIiihp38-d6_6g,-0.01979064580045309,-0.020645606385599535,-0.021477350821854202,FfZ74qjDVkWLo4wYHDxdhA,4.5200000000000005,-0.7602363636363636,2014-07-07,-1.0,0.23976363636363637
RESDUcs7fIiihp38-d6_6g,-0.019788884104116278,-0.020643685746004614,-0.021475275555048468,ejBGQeL177ECBqgMXe7sdg,29.44,0.09891562500000006,2013-05-13,0.0,0.098915625
RESDUcs7fIiihp38-d6_6g,-0.01978996210202033,-0.02064493209773044,-0.021476685689007846,vI1b3YI2NYYQzxKkhPx-kg,0.18,0.20052000000000003,2017-11-21,0.0,0.20052000000000003
RESDUcs7fIiihp38-d6_6g,-0.019789950021500857,-0.020644920183489734,-0.021476673936530633,CBaAgoD4aijYl-mQy7Wi9w,1.2200000000000002,0.14186666666666659,2015-04-04,0.0,0.14186666666666667
RESDUcs7fIiihp38-d6_6g,-0.01978918473154767,-0.02064416542714187,-0.021475929427752227,BGypylh2KjIr8GebzSU3fg,3.07,1.2965857142857145,2015-08-30,1.0,0.29658571428571434
RESDUcs7fIiihp38-d6_6g,-0.019786541888522358,-0.020641738388451847,-0.02147371233330775,XrdEvB5ZuMwZN9J4aI55FA,67.85000000000001,0.17133636363636362,2016-12-04,0.0,0.17133636363636365
RESDUcs7fIiihp38-d6_6g,-0.01977968405620678,-0.020634795521017102,-0.02146668673985208,6YYpJ59jfFCUHkGOpu2NTA,56.0,1.1733285714285713,2015-07-13,1.0,0.17332857142857144
RESDUcs7fIiihp38-d6_6g,-0.0197889139337295,-0.0206438722656499,-0.021475614509863794,b1229Hf-3YRaTkHjBnauXg,9.59,0.161978947368421,2014-09-29,0.0,0.16197894736842108
RESDUcs7fIiihp38-d6_6g,-0.019790428151533312,-0.02064539173244362,-0.021477139083112995,k1YQwMdDKtu8I_e1alakmQ,3.2800000000000002,-0.6507625,2014-09-01,-0.5,-0.1507625
RESDUcs7fIiihp38-d6_6g,-0.019786344755812424,-0.02064136454140697,-0.021473166570542324,tj4f7dbf803UjDejrs7eiQ,17.08,1.310375,2017-07-01,1.0,0.31037499999999996
RESDUcs7fIiihp38-d6_6g,-0.0197780185676375,-0.02063315295656909,-0.02146506647702906,5hwj7sIw2FC8yrS90Qjrgg,114.57,0.22404545454545444,2013-09-16,0.0,0.22404545454545455
RESDUcs7fIiihp38-d6_6g,-0.019648490218991066,-0.020505407462298564,-0.02133905542436154,XJVqcGM3nN1zwzhhM8nAoQ,214.82,1.0628578947368421,2014-07-22,1.0,0.0628578947368421
RESDUcs7fIiihp38-d6_6g,-0.019777918046407716,-0.020633053818933877,-0.021464968685417363,HYJYLFock-gXhBE2Wln5zg,30.729999999999997,1.23433,2016-12-11,1.0,0.23433
RESDUcs7fIiihp38-d6_6g,-0.019792232221833128,-0.02064705502989561,-0.021478665430353372,kEGXZcG2i4IcE3A_FdMI_Q,11.6,-0.6049666666666667,2017-08-06,-0.5,-0.10496666666666665
RESDUcs7fIiihp38-d6_6g,-0.01973964277439766,-0.020583844749724634,-0.021405122722360836,JXHrhT72U6sZJQSkFfNzjw,190.77,1.3096956521739131,2013-01-13,1.0,0.3096956521739131
RESDUcs7fIiihp38-d6_6g,-0.01979100622267116,-0.02064596184689349,-0.021477701456935838,RQhAok-F4jGkBzC4ZTxNgw,3.8099999999999996,-1.3583142857142858,2017-11-20,-1.0,-0.35831428571428575
RESDUcs7fIiihp38-d6_6g,-0.019790137503491456,-0.020645105084940107,-0.021476856327514726,jdiRcAMTA-dROFn4VBOPdQ,1.11,-0.4268692307692308,2016-08-16,-0.5,0.07313076923076924
RESDUcs7fIiihp38-d6_6g,-0.019787216426785825,-0.020642224214524774,-0.02147401457160214,nc0Tz2DEKEcbuNnwre_igA,13.900000000000002,0.6053571428571427,2016-06-26,0.5,0.10535714285714284
RESDUcs7fIiihp38-d6_6g,-0.019789153035785212,-0.020644134167646655,-0.021475898592677067,0EJNWlsatHyfSr2jJ3BJ6g,11.87,0.42599999999999993,2014-02-05,0.5,-0.074
RESDUcs7fIiihp38-d6_6g,-0.019787949245708925,-0.02064294694678015,-0.021474727491089585,6N1BsH8fvJibb0OPltwdpg,9.769999999999998,1.2338,2015-02-28,0.5,0.7338
RESDUcs7fIiihp38-d6_6g,-0.019785713653009962,-0.020640357946868138,-0.02147179468061089,3RTesI_MAwct13LWm4rhLw,29.120000000000005,0.8385750000000001,2017-05-31,0.5,0.338575
RESDUcs7fIiihp38-d6_6g,-0.019799408068624347,-0.02065454740171857,-0.021486465732083904,Itzy1C-zulmAH0lPKpmZzA,103.05,-0.09457500000000008,2013-11-26,0.0,-0.09457499999999999
RESDUcs7fIiihp38-d6_6g,-0.01977023591237259,-0.02062370554481019,-0.02145399951464344,RSLTG7N0wYJhRTW5CGEm5Q,87.86999999999999,1.3108190476190478,2013-01-14,1.0,0.3108190476190476
RESDUcs7fIiihp38-d6_6g,-0.019789619576852546,-0.020644560305323134,-0.021476285424102626,ZajIvvSDcS7f1gsUcvJYiA,9.11,0.2209833333333333,2017-07-03,0.5,-0.2790166666666667
RESDUcs7fIiihp38-d6_6g,-0.019788461717459516,-0.02064331457181523,-0.021474954202669982,ke3keE5bGzeqOw4Ae6tkJA,7.98,1.0088222222222223,2014-09-20,0.5,0.5088222222222222
